-0.5	-0.5	2	-0.5
2	-0.5	4.5	-0.5
4.5	-0.5	4.5	1.5
4.5	1.5	4.5	2.2
4.5	2.2	4.5	3.4
4.5	3.4	4.5	4.6
4.5	4.6	4.5	5.5
4.5	5.5	3.7	5.5
3.7	5.5	2.0	5.5
2.0	5.5	0.3	5.5
0.3	5.5	-0.5	5.5
-0.5	5.5	-0.5	4.6
-0.5	4.6	-0.5	3.4
-0.5	3.4	-0.5	2.2
-0.5	2.2	-0.5	1.5
-0.5	1.5	-0.5	-0.5
-0.5	-0.5	-0.5	1.5
-0.5	1.5	-0.5	2.2
-0.5	2.2	-0.5	3.4
-0.5	3.4	-0.5	4.6
-0.5	4.6	-0.5	5.5
-0.5	5.5	0.3	5.5
0.3	5.5	2.0	5.5
2.0	5.5	3.7	5.5
3.7	5.5	4.5	5.5
4.5	5.5	4.5	4.6
4.5	4.6	4.5	3.4
4.5	3.4	4.5	2.2
4.5	2.2	4.5	1.5
4.5	1.5	4.5	-0.5
4.5	-0.5	2	-0.5
2	-0.5	-0.5	-0.5
2	-0.5	2	0.5
2	0.5	2	-0.5
3.5	2.2	4.5	2.2
4.5	2.2	3.5	2.2
2	4.6	2.0	5.5
2.0	5.5	2	4.6
0.5	2.2	-0.5	2.2
-0.5	2.2	0.5	2.2
0.5	0.5	2	0.5
2	0.5	3.5	0.5
3.5	0.5	3.5	1.5
3.5	1.5	3.5	2.2
3.5	2.2	3.5	3.4
3.5	3.4	3.5	4.6
3.5	4.6	2	4.6
2	4.6	0.5	4.6
0.5	4.6	0.5	3.4
0.5	3.4	0.5	2.2
0.5	2.2	0.5	1.5
0.5	1.5	0.5	0.5
0.5	0.5	0.5	1.5
0.5	1.5	0.5	2.2
0.5	2.2	0.5	3.4
0.5	3.4	0.5	4.6
0.5	4.6	2	4.6
2	4.6	3.5	4.6
3.5	4.6	3.5	3.4
3.5	3.4	3.5	2.2
3.5	2.2	3.5	1.5
3.5	1.5	3.5	0.5
3.5	0.5	2	0.5
2	0.5	0.5	0.5
0.5	2.2	2	2.2
2	2.2	0.5	2.2
2	2.2	3.5	2.2
3.5	2.2	2	2.2
2	2.2	2	3.4
2	3.4	2	2.2
1.7	4	1.2	4
1.2	4	1.2	3.4
1.2	3.4	2	3.4
2	3.4	2.7	3.4
2.7	3.4	2.7	4
2.7	4	2.2	4
2.2	4	2.7	4
2.7	4	2.7	3.4
2.7	3.4	2	3.4
2	3.4	1.2	3.4
1.2	3.4	1.2	4
1.2	4	1.7	4
